#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	20000
Room	20000
Name     Xanozhambe wizard nexus~
Short	Wizard Xanozhambe~
Gold 0
Flags 71303171
AttrPerm     100 100 1000 100 100 100 100
Part	2047
EndMobile

#MOBILE
Vnum	17012
Room	20025
Name     Hooverboxe teacher~
Short	Hooverboxe the teacher~
Gold 0
Flags 72352771
AttrPerm     23 23 23 23 23 23 23
Part	0
EndMobile

#MOBILE
Vnum	17004
Room	20026
Name     Melnd cleric~
Short	Melnd the cleric~
Gold 0
Flags 72352771
AttrPerm     13 100 100 13 13 13 13
Part	64
EndMobile

#MOBILE
Vnum	17001
Room	20038
Name     Yuhanix baker~
Short	Yuhanix the baker~
Gold 0
Flags 71303171
AttrPerm     23 23 23 23 23 23 23
Part	64
EndMobile

#MOBILE
Vnum	20001
Room	20039
Name     Ajakichasee bartender~
Short	Ajakichasee the bartender~
Gold 0
Flags 71303171
AttrPerm     100 100 100 100 100 100 100
Part	64
#OBJECT
Vnum         20001
Condition	50
Values       1 28 19 -1 -1 -1 10
Spell 1      'refresh'
Spell 2      'hyperactivity'
End

EndMobile

#MOBILE
Vnum	17002
Room	20047
Name     Xadeng blacksmith~
Short	Blacksmith Xadeng~
Gold 0
Flags 71303171
AttrPerm     23 23 23 23 23 23 23
Part	64
EndMobile

#MOBILE
Vnum	17006
Room	20048
Name     Huhochixaix fletcher~
Short	Huhochixaix the fletcher~
Gold 0
Flags 71303171
AttrPerm     13 13 13 25 13 13 13
Part	64
EndMobile

#MOBILE
Vnum	17003
Room	20050
Name     Xuxaudai shopkeeper~
Short	Xuxaudai the shopkeeper~
Gold 0
Flags 71303171
AttrPerm     13 100 100 100 13 13 13
Part	64
EndMobile

#MOBILE
Vnum	17005
Room	20102
Name     Chotewti tailor~
Short	Tailor Chotewti~
Gold 0
Flags 71303171
AttrPerm     13 13 13 25 13 13 13
Part	64
EndMobile

#MOBILE
Vnum	17003
Room	20113
Name     Salim shopkeeper~
Short	Salim the shopkeeper~
Gold 0
Flags 71303171
AttrPerm     13 100 100 100 13 13 13
Part	64
EndMobile

#MOBILE
Vnum	20099
Room	20146
Gold 0
Flags 71303171
AttrPerm     100 100 100 100 100 100 100
Part	0
EndMobile

#MOBILE
Vnum	17010
Room	20147
Name     Letala carpenter~
Short	Letala, the carpenter~
Gold 0
Flags 71303171
AttrPerm     100 100 100 100 100 100 100
Part	3637
EndMobile

#MOBILE
Vnum	17002
Room	20179
Name     Esel blacksmith~
Short	Blacksmith Esel~
Gold 0
Flags 71303171
AttrPerm     23 23 23 23 23 23 23
Part	64
EndMobile

#MOBILE
Vnum	20002
Room	20180
Name     Zevalb dealer~
Short	Zevalb the dealer~
Gold 0
Flags 71303171
AttrPerm     100 13 13 100 100 13 13
Part	64
EndMobile

#MOBILE
Vnum	20002
Room	20181
Name     Axa dealer~
Short	Axa the dealer~
Gold 0
Flags 71303171
AttrPerm     100 13 13 100 100 13 13
Part	64
EndMobile

#MOBILE
Vnum	17003
Room	20182
Name     Kixagug shopkeeper~
Short	Kixagug the shopkeeper~
Gold 0
Flags 71303171
AttrPerm     13 100 100 100 13 13 13
Part	64
EndMobile

#MOBILE
Vnum	17010
Room	20184
Name     Ledo carpenter~
Short	Ledo, the carpenter~
Gold 0
Flags 71303171
AttrPerm     100 100 100 100 100 100 100
Part	3637
EndMobile

#MOBILE
Vnum	20005
Room	20190
Name     Exeeshe weaponsmith~
Short	Exeeshe, the weaponsmith~
Gold 0
Flags 71303171
AttrPerm     100 100 100 100 100 100 100
Part	64
EndMobile

#MOBILE
Vnum	20004
Room	20191
Name     Chim marksman~
Short	Chim the marksman~
Gold 0
Flags 71303171
AttrPerm     100 100 100 100 100 100 100
Part	64
EndMobile

#MOBILE
Vnum	17003
Room	20192
Name     Guuxi shopkeeper~
Short	Guuxi the shopkeeper~
Gold 0
Flags 71303171
AttrPerm     13 100 100 100 13 13 13
Part	64
EndMobile

#MOBILE
Vnum	17010
Room	20193
Name     Mano carpenter~
Short	Mano, the carpenter~
Gold 0
Flags 71303171
AttrPerm     100 100 100 100 100 100 100
Part	3637
EndMobile

#MOBILE
Vnum	17003
Room	20195
Name     Theth shopkeeper~
Short	Theth the shopkeeper~
Gold 0
Flags 71303171
AttrPerm     13 100 100 100 13 13 13
Part	64
EndMobile

#MOBILE
Vnum	20004
Room	17014
Name     Mashid marksman~
Short	Mashid the marksman~
Gold 0
Flags 71303171
AttrPerm     100 100 100 100 100 100 100
Part	64
EndMobile

#MOBILE
Vnum	17009
Room	17071
Name     Ketekur innkeeper~
Short	Ketekur the innkeeper~
Gold 0
Flags 71303171
AttrPerm     23 23 23 23 23 23 23
Part	0
EndMobile

#MOBILE
Vnum	17004
Room	17079
Name     Jichuno cleric~
Short	Jichuno the cleric~
Gold 0
Flags 72352771
AttrPerm     13 100 100 13 13 13 13
Part	64
EndMobile

#MOBILE
Vnum	17040
Room	17079
Name     Loxe cleric's apprentice~
Short	Loxe, the cleric's apprentice~
Gold 0
Flags 71304195
AttrPerm     23 23 23 23 23 23 23
Part	0
EndMobile

#MOBILE
Vnum	17002
Room	17080
Name     Chixodochex blacksmith~
Short	Blacksmith Chixodochex~
Gold 0
Flags 71303171
AttrPerm     23 23 23 23 23 23 23
Part	64
EndMobile

#MOBILE
Vnum	17005
Room	17081
Name     Thexon tailor~
Short	Tailor Thexon~
Gold 0
Flags 71303171
AttrPerm     13 13 13 25 13 13 13
Part	64
EndMobile

#MOBILE
Vnum	17011
Room	17081
Name     Huchulnia tailor's apprentice~
Short	Huchulnia, the tailor's apprentice~
Gold 0
Flags 71304195
AttrPerm     23 23 23 23 23 23 23
Part	0
EndMobile

#MOBILE
Vnum	17001
Room	17082
Name     Zahangema baker~
Short	Zahangema the baker~
Gold 0
Flags 71303171
